temp,sg,comment,id,type,time,__acc_reading_doc_id,__acc_reading_data_id,timepoint,ph,pressure
17.1,,,manual,manual,1622274109147,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,HQbRk5iYIBEvzrTaepcyBDlWKgjwhi,2021-05-29T07:41:49.147Z,
16.8,,,manual,manual,1622232685845,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,SdHHI7ldhbNfoRZePuVAKi6vyJGJo9,2021-05-28T20:11:25.845Z,
17.1,,,manual,manual,1622219400000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,ntP5cLTmeVXtdIWJO2F6RvPtk9tlwH,2021-05-28T16:30:00.000Z,
16.7,,,manual,manual,1622184780000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,9dP0kv89AUYdNPPth7g9rAG5YJagz4,2021-05-28T06:53:00.000Z,
17.1,,,manual,manual,1622143888475,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,qEFRLaanLtokGAqdUdKTmkMvTDGFGI,2021-05-27T19:31:28.475Z,
17,,,manual,manual,1622112344775,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,QpPYBKhkWBj9GEP9CRJAjlgKN2tRiX,2021-05-27T10:45:44.775Z,
16.3,,,manual,manual,1622097770220,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,bl0bUpXNeCZMAmgyqS3vAXXcmTLEya,2021-05-27T06:42:50.220Z,
16.6,,,manual,manual,1622063099901,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,0VPeUYkc0LWq7yZAgLTHpRkVsItVcu,2021-05-26T21:04:59.901Z,
17.1,,,manual,manual,1622033760000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,45KHrAL4BpyIzzTh1j1UPbNo604GfP,2021-05-26T12:56:00.000Z,
16.2,,,manual,manual,1622012341899,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,cMqDe9o9NqKagHO093V93LE1nDmCRx,2021-05-26T06:59:01.899Z,
