temp,time,type,comment,id,sg,__acc_reading_doc_id,__acc_reading_data_id,timepoint,ph,pressure
16.7,1617523138515,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,YHWTdxyaEknYfi4cdVKgwn3XOtGFwK,2021-04-04T07:58:58.515Z,,
16.7,1617475701593,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,DucUO6RgTk6Qt1P7FLkaX5HMvMzLEO,2021-04-03T18:48:21.593Z,,
16.1,1617459031022,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,MrCzZfnN0eIOjNaE9vC1CLqTD0hpOv,2021-04-03T14:10:31.022Z,,
20,1617450498134,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,LlztqfsHBHOcOVxomKsb2Pe7VvGY9V,2021-04-03T11:48:18.134Z,,
19,1617437520000,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,jBqfIGt95EWULUBqpTTdIjABfRRySa,2021-04-03T08:12:00.000Z,,
19.1,1617396176367,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,8ix4dnqs0GqUebWRcVHsT2qpweJUG3,2021-04-02T20:42:56.367Z,,
19.5,1617382320000,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,HxHEhAFLTlFn6B3JwsmWqmM6ma4p4c,2021-04-02T16:52:00.000Z,,
20.1,1617363300000,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,mwWPJaBHmQWhMBlPViUZYIn4zSGNhP,2021-04-02T11:35:00.000Z,,
19.5,1617344961612,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,c2nXfGFB4BkHqrXFoHo1L5t8PzKNpj,2021-04-02T06:29:21.612Z,,
19.4,1617309240000,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,XsdFd6jekkhPacR8sjIvKhRYe6sciS,2021-04-01T20:34:00.000Z,,
19.2,1617287722373,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,1ZCxzfnTYnNvZ8LfUgoMgr3Jl6Si5M,2021-04-01T14:35:22.373Z,,
19.1,1617257344056,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,njE5qzV8WBvDY1OujMf1ks5k5pYWGa,2021-04-01T06:09:04.056Z,,
19.9,1617219492398,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,KSBo9rwF5pi6S3VfuCqUPKNslgftXG,2021-03-31T19:38:12.398Z,,
19.2,1617203365789,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,aD28xaf47qdKtXLTNenPXuHu1ciWpW,2021-03-31T15:09:25.789Z,,
19.3,1617195236975,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,KkLWpJXdSjTFxndLd3QTaAA67OboZg,2021-03-31T12:53:56.975Z,,
19,1617187080855,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,kjp0QpinVOknYi8QZZ2aeRJb6wNZQf,2021-03-31T10:38:00.855Z,,
19.6,1617172318594,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,CFnzAgineGsjdJGkARp9yV0FgKvUdp,2021-03-31T06:31:58.594Z,,
19.7,1617136790290,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,DWXh2HZGbplLvoFfGzUr7KTqNOhU6h,2021-03-30T20:39:50.290Z,,
19.1,1617118385582,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,gRMlEqw2fOxg2o3QPcK9Hvd6cy6IoQ,2021-03-30T15:33:05.582Z,,
19.2,1617099567995,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,roviB62F83ui2bg2O676uA49bYocp3,2021-03-30T10:19:27.995Z,,
19.2,1617087175993,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,wfywJ4JqKUUjTWfDy5mDJeBYni8yPM,2021-03-30T06:52:55.993Z,,
20.2,1617044611499,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,DPUBmM75IdI4wpU9j1PuIsBD8vtpKT,2021-03-29T19:03:31.499Z,,
19.2,1617033509903,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,DHjOjivVtWObtWbV4zth8iIAc2d2O9,2021-03-29T15:58:29.903Z,,
20.2,1617024292446,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,XMe7DmSVsSwRUtRHMURLhmxRDW8Vvn,2021-03-29T13:24:52.446Z,,
